content_title,f0_
"NewsChannel 4 at 10:30pm Sunday",1
"Leading Edge With Jerry Anderson",1
"Dead Again",2
"CBS Austin Sports Sunday",4
"A Girl Like Grace",260
Give,516
"Eyewitness News 5:00AM",2053
"The Fate of the Furious: HBO First Look",2310
"Simple Home Solutions",7
"Big 12 This Week",8
Bobby,9
"Miami Rhapsody",10
"News 13 at 5:30",522
"Behind the Build: HGTV Smart Home",2315
"Tropical Auto",12
"North to Alaska",13
"Caribbean Life",781
"Joseph Rosendo's Travelscope",14
"2News Works for You at 6p",272
"The Night Stalker",12048
Anesthesia,17
"Man With a Plan",18
"I Love Toy Trains",18
"Say It Isn't So",22
"ABC 7 News at 4:00",534
"Scene of the Crime With Tony Harris",279
"Snakes on a Plane",538
"How To Lighten Age Spots",283
"Donut Showdown",10267
"Huang's World",29
"KAMR Local 4 News at Five",38
"Dental Implants",44
"Good Morning Heartland",46
"Good Morning Northwest at 6:30AM",48
"KXAN News at Noon",304
"Dew Tour",816
"KHQA News at Six",50
Parenthood,1333
"20/20: In an Instant",36663
"7 News Daybreak at 7:30AM on CW62",56
"FOX Springfield News at 5:30",57
"Small Town Saturday Night",826
"News10 at Noon",315
"News 3 Coastal Sunrise at 6:00",61
"The Other Woman",318
"Fox News First Early Edition",578
"CBS This Morning",116804
Raceline,73
SportsNite,3914
"Quigley Down Under",75
"KIRO 7 News at 6AM",587
"CBS12 News This Morning at 9AM",79
"Jim Shockey's: The Professionals",81
"Good Morning Richmond at 4:30AM",84
"Shanghai Noon",85
"The Jesus Strand: A Search for DNA",597
"10/11 News at Noon",88
"Taken 3",15193
"Fox 6 News at 11",606
"Good Day Siouxland at 6",95
"Good Morning El Paso",608
"The Holiday",20064
"WLKY News at 11:00PM",355
"Shades of Blue",9318
"Action News 5:30a",103
"KCRA 3 Reports at 4pm",1131
"Icy Killers: Secrets of Alaska's Salmon Shark",9836
"The Nice Guys",3951
"The Boss",880
"UEFA Europa League Full Time",369
Jarhead,117
"Streets of Compton",1142
"Crime and Punishment",376
"Fox 43 News at 5pm",121
"NBC 10 News at 11p",890
"Death Race",6778
"In the Heat of the Night",380
"The Morning News at 5am",129
"Smile Healthy America - Dentists and patients talk dental implants",131
"News 8 First at 4",134
"Get in Shape!",137
2012,907
"Rural America Live",140
"Predator Pursuit",141
"Eyewitness Morning News at 5AM",401
"Good Day Atlanta 5:00am",913
"Best Bars in America",1427
"Wheel of Fortune",62356
"Newschannel 9 AT 10PM",150
"LA 18 Evening News",151
"FOX 25 News at 5PM",921
"River Monsters: Best of the Beast",1945
"NewsCenter 5 at 4:00",667
"NBC Boston Now",157
"Early Edition of Eyewitness News",159
"The Rookie",171
"Good Morning Las Vegas at 6AM",431
"Programa Pagado",1711
"WOWT 6 News Live at Midday",177
"Assassination Tango",433
"Mr. Brooks",2226
"Local 5 News at 6:30",179
"The Chase",4531
"Good Morning Texas",949
"My Haunted House",185
"Action News Midday",445
"FOX 9 at 5:30p",705
"Spring Into Warmer Temperatures With The NuWave Oven",4038
"CBS 13 News at 4p",711
"THV11 News at 6",205
"The Recruit",209
"WXII 12 News at 5am",465
"You've Got Mail",467
"Alaska: The Last Frontier: The Frozen Edge",212
Prometheus,469
"The Man Who Knew Infinity",1494
"ABC Action News at 11 PM",474
"Friday After Next",1761
"Good Things Utah",228
"Major League Fishing",997
"Street League Skateboarding",236
"Channel 13 News at 6",496
"NBC 5 Today at 11:00am",1523
"CBS 58 Morning News at 6am",247
"Catfish: The TV Show",13047
"Eyewitness News This Morning at 6am",506
"Live 5 News at 5:30p",253
"WPBF 25 News at 11:00",255
"News 4 Primetime",1
"FOX First Sports",2
"Night of the Comet",3
"Extra Yardage",3
"NewsChannel 4 at 4AM",259
FarmHer,4
"Replay of Space Station Live",4
"Rise & Shine",521
"Fox 11 Living With Amy",267
"Newschannel 20 at 10",271
"30 for 30",16
"Kill Bill: Vol. 2",1041
"KVIE Arts Showcase",19
Extra,17683
"Chrisley Knows Best",34837
"Good Day Alabama 6a",791
"For Love & Honor",26
"The Hobbit: The Desolation of Smaug",282
"The Land Before Time XIII: The Wisdom of Friends",31
"CBS Overnight News",16928
"The Cardinals Insider",35
"My Lottery Dream Home",208937
"WVTM 13 News at 4p",298
"Battle for the Atlantic",46
"ABC 7 News on CW",51
"NewsCenter 5 at 5:30",1336
"Pardon the Interruption",33080
"FOX 17 Morning News",1337
"The Hurricane",1084
"Nashville on the Road",61
"HOI News at 5:30",61
"Dude Where's My Car?",6205
"Bamboo Dreams",324
"Small Town Big Deal",836
"We Bare Bears",24389
"Action 2 News: This Morning",840
"Fox 11 News at Nine",841
"Emperor of the North",842
"Ace Eli and Rodger of the Skies",76
"FOX and Friends First",12877
"Amazing Abs",15438
"How to Train Your Dragon",83
"First Look at the Movies",85
"10-11 News at 10",341
"In Her Shoes",853
"41 Action News at 5:00 PM",342
"WOWT 6 News Live at 5",347
"WFMY News 2 at 11",350
"Killing Jesus",97
"Signed Sealed Delivered: From the Heart",867
"The Morning Show",1126
"ABC Columbia News at 6",105
Lucy,106
"KMBC 9 News at 6:00",618
"The 10 O'Clock News",365
Chopped,83054
"Brooklyn Nine-Nine",115
"SIGN OFF",886
"Fox 11 News at Noon",1398
Fled,376
"NBC Boston News at 7p",376
"Morgan Murphy: Irish Goodbye",121
"Newswatch 16 at 7pm",379
"Happening Now",53884
"WIS News 10 at Noon",126
"Great Day Tampa Bay",131
"Crime Watch Daily With Chris Hansen",26243
"News 19 at 7pm",132
"Rules of Engagement",7044
"The Peacemaker",393
"NBC Charlotte at 4:00",394
"KCCI 8 News at Five",396
"Blue Crush",911
"News 8 Today at 5:00am",144
"10/11 Today at 5",149
"King of the Grill - Wood-Fired Cooking",5527
"News 3 at Five",155
"3 News at 6:30P",161
"Hailey Dean Mystery: Deadly Estate",419
"Through the Wormhole With Morgan Freeman",7333
"Mary Kills People",166
"The Stalker Club",168
Quintet,169
"Report to the Commissioner",171
"15 News at 5",174
"Bar Rescue",943
MECH-X4,18354
"News 4 This Morning at 5am",692
"KOLO 8 News Now at 5pm",181
"Clear and Present Danger",2230
"Let's Make a Deal",42422
"KRCG 13 Live at Sunrise",191
Cheers,4543
"At Midnight With Chris Hardwick",4544
"27 News Wake Up Wisconsin",460
"ABC7 Eyewitness News at 5pm",1743
Ghostbusters,4305
Wonderland,4306
"KMBC 9 News at 10:00",984
"Eyewitness News at 6AM",218
"The Mummy: Tomb of the Dragon Emperor",220
"Cooking Made Easy",221
"Two and a Half Men",77792
"Advanced D",482
"Iron Resurrection",4579
"WDSU News Early This Morning",233
"Fox 46 News at 6p",235
